id	text	cat
1	From fairest creatures we desire increase,	s
2	With others thou shouldst not abhor my state:	s
3	His tender heir might bear his memory:	s
4	But thou, contracted to thine own bright eyes,	s
5	Feed'st thy light'st flame with self-substantial fuel,	s
6	Thyself thy foe, to thy sweet self too cruel.	s
7	Thou that art now the world's fresh ornament	s
8	And only herald to the gaudy spring,	s
9	Within thine own bud buriest thy content	s
10	And, tender churl, makest waste in niggarding.	s
11	Pity the world, or else this glutton be,	s
12	To eat the world's due, by the grave and thee.	s
13	When forty winters shall beseige thy brow,	s
14	Poor soul, the centre of my sinful earth,	s
15	Thy youth's proud livery, so gazed on now,	s
16	Will be a tatter'd weed, of small worth held:	s
17	Then being ask'd where all thy beauty lies,	s
18	Where all the treasure of thy lusty days,	s
19	To say, within thine own deep-sunken eyes,	s
20	Were an all-eating shame and thriftless praise.	s
21	If thou couldst answer 'This fair child of mine	s
22	Shall sum my count and make my old excuse,'	s
23	Proving his beauty by succession thine!	s
24	This were to be new made when thou art old,	s
25	Now is the time that face should form another;	s
26	Whose fresh repair if now thou not renewest,	s
27	Thou dost beguile the world, unbless some mother.	s
28	For where is she so fair whose unear'd womb	s
29	Disdains the tillage of thy husbandry?	s
30	Or who is he so fond will be the tomb	s
31	Thou art thy mother's glass, and she in thee	s
32	Calls back the lovely April of her prime:	s
33	So thou through windows of thine age shall see	s
34	Despite of wrinkles this thy golden time.	s
35	But if thou live, remember'd not to be,	s
36	Die single, and thine image dies with thee.	s
37	Unthrifty loveliness, why dost thou spend	s
38	Cupid laid by his brand, and fell asleep:	s
39	Nature's bequest gives nothing but doth lend,	s
40	And being frank she lends to those are free.	s
41	The bounteous largess given thee to give?	s
42	Profitless usurer, why dost thou use	s
43	So great a sum of sums, yet canst not live?	s
44	For having traffic with thyself alone,	s
45	Thou of thyself thy sweet self dost deceive.	s
46	Then how, when nature calls thee to be gone,	s
47	What acceptable audit canst thou leave?	s
48	Thy unused beauty must be tomb'd with thee,	s
49	Which, used, lives th' executor to be.	s
50	Those hours, that with gentle work did frame	s
51	The lovely gaze where every eye doth dwell,	s
52	Will play the tyrants to the very same	s
53	And that unfair which fairly doth excel:	s
54	For never-resting time leads summer on	s
55	To hideous winter and confounds him there;	s
56	Sap check'd with frost and lusty leaves quite gone,	s
57	Beauty o'ersnow'd and bareness every where:	s
58	Then, were not summer's distillation left,	s
59	Nor it nor no remembrance what it was:	s
60	But flowers distill'd though they with winter meet,	s
61	Leese but their show; their substance still lives sweet.	s
62	Then let not winter's ragged hand deface	s
63	In thee thy summer, ere thou be distill'd:	s
64	Make sweet some vial; treasure thou some place	s
65	With beauty's treasure, ere it be self-kill'd.	s
66	That use is not forbidden usury,	s
67	Which happies those that pay the willing loan;	s
68	Or ten times happier, be it ten for one;	s
69	Ten times thyself were happier than thou art,	s
70	If ten of thine ten times refigured thee:	s
71	Then what could death do, if thou shouldst depart,	s
72	Leaving thee living in posterity?	s
73	Be not self-will'd, for thou art much too fair	s
74	Lo! in the orient when the gracious light	s
75	Lifts up his burning head, each under eye	s
76	Doth homage to his new-appearing sight,	s
77	Serving with looks his sacred majesty;	s
78	And having climb'd the steep-up heavenly hill,	s
79	Resembling strong youth in his middle age,	s
80	Yet mortal looks adore his beauty still,	s
81	Attending on his golden pilgrimage;	s
82	But when from highmost pitch, with weary car,	s
83	Like feeble age, he reeleth from the day,	s
84	The eyes, 'fore duteous, now converted are	s
85	From his low tract and look another way:	s
86	So thou, thyself out-going in thy noon,	s
87	Unlook'd on diest, unless thou get a son.	s
88	Music to hear, why hear'st thou music sadly?	s
89	Sweets with sweets war not, joy delights in joy.	s
90	Why lovest thou that which thou receivest not gladly,	s
91	That is so proud thy service to despise,	s
92	Look in thy glass, and tell the face thou viewest	s
93	By unions married, do offend thine ear,	s
94	They do but sweetly chide thee, who confounds	s
95	In singleness the parts that thou shouldst bear.	s
96	Mark how one string, sweet husband to another,	s
97	Strikes each in each by mutual ordering,	s
98	Resembling sire and child and happy mother	s
99	Who all in one, one pleasing note do sing:	s
100	Whose speechless song, being many, seeming one,	s
101	Sings this to thee: 'thou single wilt prove none.'	s
102	Is it for fear to wet a widow's eye	s
103	That thou consumest thyself in single life?	s
104	Ah! if thou issueless shalt hap to die.	s
105	The world will wail thee, like a makeless wife;	s
106	The world will be thy widow and still weep	s
107	That thou no form of thee hast left behind,	s
108	When every private widow well may keep	s
109	By children's eyes her husband's shape in mind.	s
110	Look, what an unthrift in the world doth spend	s
111	Shifts but his place, for still the world enjoys it;	s
112	But beauty's waste hath in the world an end,	s
113	And kept unused, the user so destroys it.	s
114	No love toward others in that bosom sits	s
115	That on himself such murderous shame commits.	s
116	For shame! deny that thou bear'st love to any,	s
117	And so the general of hot desire	s
118	Grant, if thou wilt, thou art beloved of many,	s
119	But that thou none lovest is most evident;	s
120	For thou art so possess'd with murderous hate	s
121	That 'gainst thyself thou stick'st not to conspire.	s
122	Seeking that beauteous roof to ruinate	s
123	Which to repair should be thy chief desire.	s
124	'I hate' from hate away she threw,	s
125	Shall hate be fairer lodged than gentle love?	s
126	Be, as thy presence is, gracious and kind,	s
127	Or to thyself at least kind-hearted prove:	s
128	That beauty still may live in thine or thee.	s
129	As fast as thou shalt wane, so fast thou growest	s
130	In one of thine, from that which thou departest;	s
131	Thou mayst call thine when thou from youth convertest.	s
132	Without this, folly, age and cold decay:	s
133	If all were minded so, the times should cease	s
134	And threescore year would make the world away.	s
135	Let those whom Nature hath not made for store,	s
136	Harsh featureless and rude, barrenly perish:	s
137	She carved thee for her seal, and meant thereby	s
138	Those lips that Love's own hand did make	s
139	When I do count the clock that tells the time,	s
140	And see the brave day sunk in hideous night;	s
141	When I behold the violet past prime,	s
142	When lofty trees I see barren of leaves	s
143	Which erst from heat did canopy the herd,	s
144	And summer's green all girded up in sheaves	s
145	Borne on the bier with white and bristly beard,	s
146	Then of thy beauty do I question make,	s
147	That thou among the wastes of time must go,	s
148	Since sweets and beauties do themselves forsake	s
149	And nothing 'gainst Time's scythe can make defence	s
150	Save breed, to brave him when he takes thee hence.	s
151	O, that you were yourself! but, love, you are	s
152	No longer yours than you yourself here live:	s
153	Against this coming end you should prepare,	s
154	And your sweet semblance to some other give.	s
155	Find no determination: then you were	s
156	Yourself again after yourself's decease,	s
157	Who lets so fair a house fall to decay,	s
158	Which husbandry in honour might uphold	s
159	Against the stormy gusts of winter's day	s
160	And barren rage of death's eternal cold?	s
161	O, none but unthrifts! Dear my love, you know	s
162	You had a father: let your son say so.	s
163	Not from the stars do I my judgment pluck;	s
164	And yet methinks I have astronomy,	s
165	But not to tell of good or evil luck,	s
166	Of plagues, of dearths, or seasons' quality;	s
167	Making a famine where abundance lies,	s
168	Or say with princes if it shall go well,	s
169	By oft predict that I in heaven find:	s
170	But from thine eyes my knowledge I derive,	s
171	And, constant stars, in them I read such art	s
172	If from thyself to store thou wouldst convert;	s
173	Or else of thee this I prognosticate:	s
174	Thy end is truth's and beauty's doom and date.	s
175	The boy for trial needs would touch my breast;	s
176	That this huge stage presenteth nought but shows	s
177	Whereon the stars in secret influence comment;	s
178	Cheered and check'd even by the self-same sky,	s
179	Vaunt in their youthful sap, at height decrease,	s
180	And wear their brave state out of memory;	s
181	Then the conceit of this inconstant stay	s
182	Sets you most rich in youth before my sight,	s
183	Where wasteful Time debateth with Decay,	s
184	To change your day of youth to sullied night;	s
185	And all in war with Time for love of you,	s
186	But wherefore do not you a mightier way	s
187	Make war upon this bloody tyrant, Time?	s
188	And fortify yourself in your decay	s
189	With means more blessed than my barren rhyme?	s
190	Now stand you on the top of happy hours,	s
191	Much liker than your painted counterfeit:	s
192	So should the lines of life that life repair,	s
193	Which this, Time's pencil, or my pupil pen,	s
194	No marvel then, though I mistake my view;	s
195	Can make you live yourself in eyes of men.	s
196	To give away yourself keeps yourself still,	s
197	And you must live, drawn by your own sweet skill.	s
198	Who will believe my verse in time to come,	s
199	Though yet, heaven knows, it is but as a tomb	s
200	Which hides your life and shows not half your parts.	s
201	If I could write the beauty of your eyes	s
202	And in fresh numbers number all your graces,	s
203	The age to come would say 'This poet lies:	s
204	Such heavenly touches ne'er touch'd earthly faces.'	s
205	So should my papers yellow'd with their age	s
206	Be scorn'd like old men of less truth than tongue,	s
207	And your true rights be term'd a poet's rage	s
208	But were some child of yours alive that time,	s
209	Commanded by the motion of thine eyes?	s
210	Thou art more lovely and more temperate:	s
211	Rough winds do shake the darling buds of May,	s
212	And summer's lease hath all too short a date:	s
213	Sometime too hot the eye of heaven shines,	s
214	And often is his gold complexion dimm'd;	s
215	And every fair from fair sometime declines,	s
216	By chance or nature's changing course untrimm'd;	s
217	But thy eternal summer shall not fade	s
218	And let that pine to aggravate thy store;	s
219	Nor shall Death brag thou wander'st in his shade,	s
220	When in eternal lines to time thou growest:	s
221	So long as men can breathe or eyes can see,	s
222	So long lives this and this gives life to thee.	s
223	Devouring Time, blunt thou the lion's paws,	s
224	And make the earth devour her own sweet brood;	s
225	Pluck the keen teeth from the fierce tiger's jaws,	s
226	And burn the long-lived phoenix in her blood;	s
227	Make glad and sorry seasons as thou fleets,	s
228	And do whate'er thou wilt, swift-footed Time,	s
229	To the wide world and all her fading sweets;	s
230	But I forbid thee one most heinous crime:	s
231	O, carve not with thy hours my love's fair brow,	s
232	Nor draw no lines there with thine antique pen;	s
233	Him in thy course untainted do allow	s
234	For beauty's pattern to succeeding men.	s
235	Yet, do thy worst, old Time: despite thy wrong,	s
236	My love shall in my verse ever live young.	s
237	A woman's face with Nature's own hand painted	s
238	Hast thou, the master-mistress of my passion;	s
239	A woman's gentle heart, but not acquainted	s
240	With shifting change, as is false women's fashion;	s
241	An eye more bright than theirs, less false in rolling,	s
242	Gilding the object whereupon it gazeth;	s
243	A man in hue, all 'hues' in his controlling,	s
244	Much steals men's eyes and women's souls amazeth.	s
245	And for a woman wert thou first created;	s
246	Till Nature, as she wrought thee, fell a-doting,	s
247	And by addition me of thee defeated,	s
248	By adding one thing to my purpose nothing.	s
249	But since she prick'd thee out for women's pleasure,	s
250	Mine be thy love and thy love's use their treasure.	s
251	So is it not with me as with that Muse	s
252	Stirr'd by a painted beauty to his verse,	s
253	Who heaven itself for ornament doth use	s
254	And every fair with his fair doth rehearse	s
255	Making a couplement of proud compare,	s
256	With sun and moon, with earth and sea's rich gems,	s
257	With April's first-born flowers, and all things rare	s
258	O' let me, true in love, but truly write,	s
259	And then believe me, my love is as fair	s
260	To make me give the lie to my true sight,	s
261	As those gold candles fix'd in heaven's air:	s
262	Let them say more than like of hearsay well;	s
263	I will not praise that purpose not to sell.	s
264	My glass shall not persuade me I am old,	s
265	So long as youth and thou are of one date;	s
266	But when in thee time's furrows I behold,	s
267	Then look I death my days should expiate.	s
268	For all that beauty that doth cover thee	s
269	Is but the seemly raiment of my heart,	s
270	Which in thy breast doth live, as thine in me:	s
271	How can I then be elder than thou art?	s
272	O, therefore, love, be of thyself so wary	s
273	As I, not for myself, but for thee will;	s
274	Bearing thy heart, which I will keep so chary	s
275	As tender nurse her babe from faring ill.	s
276	Presume not on thy heart when mine is slain;	s
277	Thou gavest me thine, not to give back again.	s
278	As an unperfect actor on the stage	s
279	And taught it thus anew to greet:	s
280	Or some fierce thing replete with too much rage,	s
281	Whose strength's abundance weakens his own heart.	s
282	So I, for fear of trust, forget to say	s
283	The perfect ceremony of love's rite,	s
284	And in mine own love's strength seem to decay,	s
285	O'ercharged with burden of mine own love's might.	s
